# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     73.500     64.000     2.23371e-01
30.420     180.000     46.000     111.000     1.11819e-01
30.420     180.000     18.500     94.000     1.75930e-01
30.420     180.000     70.500     359.000     4.00160e-01
30.420     180.000     88.500     287.000     2.30687e-01
30.420     180.000     72.000     174.000     1.29887e-01
30.420     180.000     14.500     49.000     2.76872e-01
30.420     180.000     23.000     121.000     1.32764e-01
30.420     180.000     7.500     66.000     2.30947e-01
30.420     180.000     51.000     264.000     1.36531e-01
30.420     180.000     14.500     238.000     1.53282e-01
30.420     180.000     1.500     334.000     2.21350e-01
30.420     180.000     44.000     169.000     8.63010e-02
30.420     180.000     84.000     41.000     3.21283e-01
30.420     180.000     2.500     91.000     2.12388e-01
30.420     180.000     10.500     185.000     1.50629e-01
30.420     180.000     59.000     56.000     2.16958e-01
30.420     180.000     89.500     349.000     3.38603e-01
30.420     180.000     53.500     41.000     2.69009e-01
30.420     180.000     51.000     133.000     9.66418e-02
30.420     180.000     19.000     360.000     4.01419e-01
30.420     180.000     1.500     314.000     2.14700e-01
30.420     180.000     52.500     64.000     1.93857e-01
30.420     180.000     54.500     43.000     2.64117e-01
30.420     180.000     2.500     7.000     2.43966e-01
30.420     180.000     68.500     270.000     1.62696e-01
30.420     180.000     70.000     243.000     1.39841e-01
30.420     180.000     68.500     3.000     3.77321e-01
30.420     180.000     28.500     284.000     2.20158e-01
30.420     180.000     22.500     40.000     3.38524e-01
30.420     180.000     14.000     5.000     4.21486e-01
30.420     180.000     55.000     91.000     1.35366e-01
30.420     180.000     23.000     159.000     1.12420e-01
30.420     180.000     70.000     205.000     1.26184e-01
30.420     180.000     69.000     71.000     1.95079e-01
30.420     180.000     16.000     333.000     3.56809e-01
30.420     180.000     53.000     60.000     2.00778e-01
30.420     180.000     56.000     143.000     9.62867e-02
30.420     180.000     88.000     176.000     1.90151e-01
30.420     180.000     65.500     127.000     1.17789e-01
30.420     180.000     71.000     124.000     1.33554e-01
