# This data is brightness observations of selected
# Starlink v1.5 satellites by the Pomenis observatory
# All data was collected at Mount Lemmon, Arizona
# (32.4434° N, 110.7881° W)
# All observations in this data correspond to
# satellites with the same brightness configuration
# A list of satellites with this brightness configuration
# is given in brightness_config_list.csv
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# ------------ Units -----------------
# Observation Time : UTC
# Satellite Height : kilometers
# Satellite Altitude : degrees (HCS)
# Satellite Azimuth : degrees (HCS)

observation_time,satellite_height,satellite_altitude,satellite_azimuth,ab_magnitude
2022-05-17T04:04:45,541.8962969,66.5898953,209.9042452,5.70975959
2022-05-17T11:14:22,540.8010729,49.915696,88.77837231,6.596799902
2022-05-17T10:58:32,540.7100177,29.15410771,86.47096899,7.234233969
2022-05-17T10:45:30,539.728976,27.24634856,147.2136688,7.057436496
2022-05-23T03:29:56,582.4998934,54.09228704,32.55579312,6.24297831
2022-05-23T03:51:40,541.1465958,22.33193507,201.0185627,7.067262555
2022-05-23T03:34:38,542.8192493,31.88122006,34.9464049,7.610990667
2022-05-23T04:35:44,541.6876968,20.1463199,260.4121404,7.97078478
2022-05-23T03:15:03,542.054854,42.50292148,75.28488355,5.287733917
2022-05-23T03:39:10,542.3800249,34.30869527,49.66806157,5.972947781
2022-05-23T04:30:50,541.4433629,24.9702333,249.8727209,7.832991661
2022-05-23T04:06:54,541.8521077,60.95894428,74.72565165,4.983617771
2022-05-23T03:36:01,542.022865,67.87279207,341.2496876,5.900557225
2022-05-23T03:44:39,542.4577735,38.50692959,49.72849566,5.97341892
2022-05-23T04:01:40,540.9648601,20.80952909,226.7057119,7.985423803
2022-05-23T03:55:48,541.2000195,23.93013332,234.5227103,7.654294273
2022-05-23T10:25:27,540.9871667,50.90250386,319.4275514,6.487765245
2022-05-23T10:13:31,540.9077942,57.38650221,6.785814455,5.993100188
2022-05-23T10:47:53,540.1673901,59.083404,249.9900047,5.136013177
2022-05-23T11:17:18,540.3426043,23.12305613,88.46869125,6.562183017
2022-05-23T10:57:27,540.4558212,42.16249926,90.34664765,6.076671811
2022-05-23T11:09:58,539.395827,26.18902874,134.710988,7.35747234
2022-05-23T10:28:22,539.758991,23.78559818,145.8055548,6.657093525
2022-05-23T10:41:29,540.3606166,26.18568568,89.92750634,7.430339989
2022-05-23T10:16:57,540.1843721,49.46272327,128.0991865,6.04441514
2022-05-23T11:23:22,540.3010463,56.34191624,235.0548294,4.560578346
2022-05-23T11:19:50,541.2497662,44.77355197,45.75561857,6.495032852
2022-05-23T11:06:09,540.8430325,46.92125896,296.1093262,5.382468889
2022-05-25T03:30:26,582.9588044,40.47867803,320.0359124,6.694733731
2022-05-25T03:23:37,582.7939332,42.24415601,340.4741341,7.083365449
2022-05-25T04:43:21,577.6933337,43.42951126,343.5790491,6.267089177
2022-05-25T04:27:24,541.3629007,26.03932551,239.3871861,6.812534171
2022-05-25T04:17:10,541.2828664,32.38451802,214.4147785,5.269308318
2022-05-25T04:22:23,541.0227404,29.48646263,225.7010302,6.005109184
2022-05-25T03:18:42,541.8497626,38.22237963,100.5577469,5.390875451
2022-05-25T03:57:16,541.9027585,55.990256,49.70346224,5.544394748
