# This file contains the BRDF of the solar array
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
41.40     -180.00     -64.00     0.00     2.52218e-03
41.40     -180.00     -63.00     0.00     2.53964e-03
41.40     -180.00     -62.00     0.00     2.58260e-03
41.40     -180.00     -61.00     0.00     2.54766e-03
41.40     -180.00     -60.00     0.00     2.54333e-03
41.40     -180.00     -59.00     0.00     2.53559e-03
41.40     -180.00     -58.00     0.00     2.59693e-03
41.40     -180.00     -57.00     0.00     2.60688e-03
41.40     -180.00     -56.00     0.00     2.67547e-03
41.40     -180.00     -55.00     0.00     2.71372e-03
41.40     -180.00     -54.00     0.00     2.70480e-03
41.40     -180.00     -53.00     0.00     2.81037e-03
41.40     -180.00     -52.00     0.00     2.78969e-03
41.40     -180.00     -51.00     0.00     2.86234e-03
41.40     -180.00     -50.00     0.00     2.85197e-03
41.40     -180.00     -49.00     0.00     2.91720e-03
41.40     -180.00     -48.00     0.00     2.93653e-03
41.40     -180.00     -47.00     0.00     2.96110e-03
41.40     -180.00     -46.00     0.00     3.00532e-03
41.40     -180.00     -45.00     0.00     2.92378e-03
41.40     -180.00     -44.00     0.00     2.94737e-03
41.40     -180.00     -43.00     0.00     2.97096e-03
41.40     -180.00     -42.00     0.00     2.99454e-03
41.40     -180.00     -41.00     0.00     3.01813e-03
41.40     -180.00     -40.00     0.00     3.04172e-03
41.40     -180.00     -39.00     0.00     3.06531e-03
41.40     -180.00     -38.00     0.00     3.08890e-03
41.40     -180.00     -37.00     0.00     3.11248e-03
41.40     -180.00     -36.00     0.00     3.16980e-03
41.40     -180.00     -35.00     0.00     3.06731e-03
41.40     -180.00     -34.00     0.00     3.06305e-03
41.40     -180.00     -33.00     0.00     3.03662e-03
41.40     -180.00     -32.00     0.00     2.97675e-03
41.40     -180.00     -31.00     0.00     2.92561e-03
41.40     -180.00     -30.00     0.00     2.87134e-03
41.40     -180.00     -29.00     0.00     2.87590e-03
41.40     -180.00     -28.00     0.00     2.79243e-03
41.40     -180.00     -27.00     0.00     2.80003e-03
41.40     -180.00     -26.00     0.00     2.76730e-03
41.40     -180.00     -25.00     0.00     2.76802e-03
41.40     -180.00     -24.00     0.00     2.79988e-03
41.40     -180.00     -23.00     0.00     2.80041e-03
41.40     -180.00     -22.00     0.00     2.79707e-03
41.40     -180.00     -21.00     0.00     2.74357e-03
41.40     -180.00     -20.00     0.00     2.78799e-03
41.40     -180.00     -19.00     0.00     2.75692e-03
41.40     -180.00     -18.00     0.00     2.74447e-03
41.40     -180.00     -17.00     0.00     2.77935e-03
41.40     -180.00     -16.00     0.00     2.81296e-03
41.40     -180.00     -15.00     0.00     2.80017e-03
41.40     -180.00     -14.00     0.00     2.82720e-03
41.40     -180.00     -13.00     0.00     2.84203e-03
41.40     -180.00     -12.00     0.00     2.86073e-03
41.40     -180.00     -11.00     0.00     2.94657e-03
41.40     -180.00     -10.00     0.00     2.98155e-03
41.40     -180.00     -9.00     0.00     2.99584e-03
41.40     -180.00     -8.00     0.00     3.03076e-03
41.40     -180.00     -7.00     0.00     3.11725e-03
41.40     -180.00     -6.00     0.00     3.14723e-03
41.40     -180.00     -5.00     0.00     3.21851e-03
41.40     -180.00     -4.00     0.00     3.38334e-03
41.40     -180.00     -3.00     0.00     3.33260e-03
41.40     -180.00     -2.00     0.00     3.42451e-03
41.40     -180.00     -1.00     0.00     3.56427e-03
41.40     -180.00     0.00     0.00     3.64403e-03
41.40     -180.00     1.00     0.00     3.83592e-03
41.40     -180.00     2.00     0.00     3.95922e-03
41.40     -180.00     3.00     0.00     4.18579e-03
41.40     -180.00     4.00     0.00     4.30475e-03
41.40     -180.00     5.00     0.00     4.47732e-03
41.40     -180.00     6.00     0.00     4.72691e-03
41.40     -180.00     7.00     0.00     5.20845e-03
41.40     -180.00     8.00     0.00     5.47867e-03
41.40     -180.00     9.00     0.00     5.72031e-03
41.40     -180.00     10.00     0.00     6.19043e-03
41.40     -180.00     11.00     0.00     6.70401e-03
41.40     -180.00     12.00     0.00     7.36728e-03
41.40     -180.00     13.00     0.00     7.93445e-03
41.40     -180.00     14.00     0.00     8.80280e-03
41.40     -180.00     15.00     0.00     9.68899e-03
41.40     -180.00     16.00     0.00     1.06815e-02
41.40     -180.00     17.00     0.00     1.18960e-02
41.40     -180.00     18.00     0.00     1.34028e-02
41.40     -180.00     19.00     0.00     1.55035e-02
41.40     -180.00     20.00     0.00     1.75922e-02
41.40     -180.00     21.00     0.00     1.96309e-02
41.40     -180.00     22.00     0.00     2.23866e-02
41.40     -180.00     23.00     0.00     2.64216e-02
41.40     -180.00     24.00     0.00     3.06207e-02
41.40     -180.00     25.00     0.00     3.59529e-02
41.40     -180.00     26.00     0.00     4.04251e-02
41.40     -180.00     27.00     0.00     4.90667e-02
41.40     -180.00     28.00     0.00     6.01185e-02
41.40     -180.00     29.00     0.00     7.54423e-02
41.40     -180.00     30.00     0.00     1.00347e-01
41.40     -180.00     31.00     0.00     1.31083e-01
41.40     -180.00     32.00     0.00     1.62223e-01
41.40     -180.00     33.00     0.00     2.08871e-01
41.40     -180.00     34.00     0.00     2.73920e-01
41.40     -180.00     35.00     0.00     3.27387e-01
41.40     -180.00     36.00     0.00     3.81020e-01
41.40     -180.00     37.00     0.00     4.24746e-01
41.40     -180.00     38.00     0.00     4.98267e-01
41.40     -180.00     39.00     0.00     5.93010e-01
41.40     -180.00     40.00     0.00     7.67598e-01
41.40     -180.00     41.00     0.00     1.29424e+01
41.40     -180.00     42.00     0.00     9.89726e-01
41.40     -180.00     43.00     0.00     7.51899e-01
41.40     -180.00     44.00     0.00     6.25631e-01
41.40     -180.00     45.00     0.00     4.94968e-01
41.40     -180.00     46.00     0.00     3.81611e-01
41.40     -180.00     47.00     0.00     2.94717e-01
41.40     -180.00     48.00     0.00     2.37985e-01
41.40     -180.00     49.00     0.00     1.89390e-01
41.40     -180.00     50.00     0.00     1.51819e-01
41.40     -180.00     51.00     0.00     1.24960e-01
41.40     -180.00     52.00     0.00     1.05760e-01
41.40     -180.00     53.00     0.00     9.11271e-02
41.40     -180.00     54.00     0.00     7.85051e-02
41.40     -180.00     55.00     0.00     6.88865e-02
41.40     -180.00     56.00     0.00     6.04432e-02
41.40     -180.00     57.00     0.00     5.38383e-02
41.40     -180.00     58.00     0.00     4.80722e-02
41.40     -180.00     59.00     0.00     4.34929e-02
