# This file contains the BRDF of the chassis
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
60.00     -180.00     -11.00     0.00     1.09605e-02
60.00     -180.00     -10.00     0.00     1.10823e-02
60.00     -180.00     -9.00     0.00     1.12628e-02
60.00     -180.00     -8.00     0.00     1.14132e-02
60.00     -180.00     -7.00     0.00     1.16274e-02
60.00     -180.00     -6.00     0.00     1.17730e-02
60.00     -180.00     -5.00     0.00     1.20963e-02
60.00     -180.00     -4.00     0.00     1.22962e-02
60.00     -180.00     -3.00     0.00     1.23573e-02
60.00     -180.00     -2.00     0.00     1.26206e-02
60.00     -180.00     -1.00     0.00     1.28697e-02
60.00     -180.00     0.00     0.00     1.38307e-02
60.00     -180.00     1.00     0.00     1.35209e-02
60.00     -180.00     2.00     0.00     1.38208e-02
60.00     -180.00     3.00     0.00     1.41691e-02
60.00     -180.00     4.00     0.00     1.45966e-02
60.00     -180.00     5.00     0.00     1.47797e-02
60.00     -180.00     6.00     0.00     1.55352e-02
60.00     -180.00     7.00     0.00     1.60952e-02
60.00     -180.00     8.00     0.00     1.64042e-02
60.00     -180.00     9.00     0.00     1.69413e-02
60.00     -180.00     10.00     0.00     1.73691e-02
60.00     -180.00     11.00     0.00     1.78195e-02
60.00     -180.00     12.00     0.00     1.84720e-02
60.00     -180.00     13.00     0.00     1.92687e-02
60.00     -180.00     14.00     0.00     2.03731e-02
60.00     -180.00     15.00     0.00     2.11442e-02
60.00     -180.00     16.00     0.00     2.22409e-02
60.00     -180.00     17.00     0.00     2.32557e-02
60.00     -180.00     18.00     0.00     2.43487e-02
60.00     -180.00     19.00     0.00     2.59934e-02
60.00     -180.00     20.00     0.00     2.71068e-02
60.00     -180.00     21.00     0.00     2.90257e-02
60.00     -180.00     22.00     0.00     3.08111e-02
60.00     -180.00     23.00     0.00     3.26598e-02
60.00     -180.00     24.00     0.00     3.47419e-02
60.00     -180.00     25.00     0.00     3.78768e-02
60.00     -180.00     26.00     0.00     4.02042e-02
60.00     -180.00     27.00     0.00     4.35503e-02
60.00     -180.00     28.00     0.00     4.77844e-02
60.00     -180.00     29.00     0.00     5.20259e-02
60.00     -180.00     30.00     0.00     5.66095e-02
60.00     -180.00     31.00     0.00     6.32448e-02
60.00     -180.00     32.00     0.00     7.01404e-02
60.00     -180.00     33.00     0.00     7.76289e-02
60.00     -180.00     34.00     0.00     8.63232e-02
60.00     -180.00     35.00     0.00     9.93642e-02
60.00     -180.00     36.00     0.00     1.11941e-01
60.00     -180.00     37.00     0.00     1.26120e-01
60.00     -180.00     38.00     0.00     1.45258e-01
60.00     -180.00     39.00     0.00     1.65894e-01
60.00     -180.00     40.00     0.00     1.92860e-01
60.00     -180.00     41.00     0.00     2.20190e-01
60.00     -180.00     42.00     0.00     2.52162e-01
60.00     -180.00     43.00     0.00     3.00119e-01
60.00     -180.00     44.00     0.00     3.51341e-01
60.00     -180.00     45.00     0.00     4.17734e-01
60.00     -180.00     46.00     0.00     4.95060e-01
60.00     -180.00     47.00     0.00     5.95740e-01
60.00     -180.00     48.00     0.00     7.17268e-01
60.00     -180.00     49.00     0.00     8.91873e-01
60.00     -180.00     50.00     0.00     1.06741e+00
60.00     -180.00     51.00     0.00     1.29050e+00
60.00     -180.00     52.00     0.00     1.54696e+00
60.00     -180.00     53.00     0.00     2.07439e+00
60.00     -180.00     54.00     0.00     2.78256e+00
60.00     -180.00     55.00     0.00     3.68287e+00
60.00     -180.00     56.00     0.00     4.60901e+00
60.00     -180.00     57.00     0.00     1.35266e+01
60.00     -180.00     58.00     0.00     2.68941e+01
60.00     -180.00     59.00     0.00     4.44889e+02
60.00     -180.00     60.00     0.00     2.73438e+03
60.00     -180.00     61.00     0.00     1.14370e+03
60.00     -180.00     62.00     0.00     4.24827e+01
60.00     -180.00     63.00     0.00     1.88269e+01
60.00     -180.00     64.00     0.00     1.21775e+01
60.00     -180.00     65.00     0.00     8.10263e+00
60.00     -180.00     66.00     0.00     6.06652e+00
60.00     -180.00     67.00     0.00     5.20963e+00
60.00     -180.00     68.00     0.00     3.67894e+00
60.00     -180.00     69.00     0.00     2.11346e+00
60.00     -180.00     70.00     0.00     1.71741e+00
60.00     -180.00     71.00     0.00     1.52560e+00
60.00     -180.00     72.00     0.00     1.41754e+00
60.00     -180.00     73.00     0.00     1.34008e+00
60.00     -180.00     74.00     0.00     1.27048e+00
60.00     -180.00     75.00     0.00     1.21241e+00
60.00     -180.00     76.00     0.00     1.17501e+00
60.00     -180.00     77.00     0.00     1.07139e+00
60.00     -180.00     78.00     0.00     9.94694e-01
60.00     -180.00     79.00     0.00     9.56324e-01
60.00     -180.00     80.00     0.00     9.33231e-01
60.00     -180.00     81.00     0.00     8.82546e-01
60.00     -180.00     82.00     0.00     8.26179e-01
60.00     -180.00     83.00     0.00     7.91911e-01
60.00     -180.00     84.00     0.00     7.48854e-01
60.00     -180.00     85.00     0.00     6.92546e-01
60.00     -180.00     86.00     0.00     6.46255e-01
60.00     -180.00     87.00     0.00     5.92140e-01
60.00     -180.00     88.00     0.00     4.64129e-01
60.00     -180.00     89.00     0.00     1.00000e-04
60.00     -180.00     90.00     0.00     1.00000e-04
41.40     -180.00     -90.00     0.00     1.00000e-04
41.40     -180.00     -89.00     0.00     1.00000e-04
41.40     -180.00     -88.00     0.00     3.08832e-03
41.40     -180.00     -87.00     0.00     1.05889e-02
41.40     -180.00     -86.00     0.00     8.93853e-03
41.40     -180.00     -85.00     0.00     1.16817e-02
41.40     -180.00     -84.00     0.00     1.16690e-02
41.40     -180.00     -83.00     0.00     1.21472e-02
41.40     -180.00     -82.00     0.00     1.22994e-02
41.40     -180.00     -81.00     0.00     1.24186e-02
41.40     -180.00     -80.00     0.00     1.24353e-02
41.40     -180.00     -79.00     0.00     1.23230e-02
41.40     -180.00     -78.00     0.00     1.21277e-02
41.40     -180.00     -77.00     0.00     1.19151e-02
41.40     -180.00     -76.00     0.00     1.17272e-02
41.40     -180.00     -75.00     0.00     1.16598e-02
41.40     -180.00     -74.00     0.00     1.23357e-02
41.40     -180.00     -73.00     0.00     1.12480e-02
41.40     -180.00     -72.00     0.00     1.09433e-02
41.40     -180.00     -71.00     0.00     1.07556e-02
41.40     -180.00     -70.00     0.00     1.05028e-02
41.40     -180.00     -69.00     0.00     1.06764e-02
41.40     -180.00     -68.00     0.00     1.01915e-02
41.40     -180.00     -67.00     0.00     1.00763e-02
41.40     -180.00     -66.00     0.00     9.81504e-03
41.40     -180.00     -65.00     0.00     9.76122e-03
41.40     -180.00     -64.00     0.00     9.60375e-03
41.40     -180.00     -63.00     0.00     9.44464e-03
41.40     -180.00     -62.00     0.00     9.06753e-03
41.40     -180.00     -61.00     0.00     8.91339e-03
41.40     -180.00     -60.00     0.00     8.80417e-03
41.40     -180.00     -59.00     0.00     8.77944e-03
41.40     -180.00     -58.00     0.00     8.69381e-03
41.40     -180.00     -57.00     0.00     8.62367e-03
41.40     -180.00     -56.00     0.00     8.59049e-03
41.40     -180.00     -55.00     0.00     8.37219e-03
41.40     -180.00     -54.00     0.00     8.29632e-03
41.40     -180.00     -53.00     0.00     8.15003e-03
41.40     -180.00     -52.00     0.00     8.31296e-03
41.40     -180.00     -51.00     0.00     8.15594e-03
41.40     -180.00     -50.00     0.00     8.14255e-03
41.40     -180.00     -49.00     0.00     8.07593e-03
41.40     -180.00     -48.00     0.00     8.11438e-03
41.40     -180.00     -47.00     0.00     7.95034e-03
41.40     -180.00     -46.00     0.00     8.05985e-03
41.40     -180.00     -45.00     0.00     7.63852e-03
41.40     -180.00     -44.00     0.00     7.72652e-03
41.40     -180.00     -43.00     0.00     7.81452e-03
41.40     -180.00     -42.00     0.00     7.90251e-03
41.40     -180.00     -41.00     0.00     7.99051e-03
41.40     -180.00     -40.00     0.00     8.07851e-03
41.40     -180.00     -39.00     0.00     8.16650e-03
41.40     -180.00     -38.00     0.00     8.25450e-03
41.40     -180.00     -37.00     0.00     8.34250e-03
41.40     -180.00     -36.00     0.00     8.16821e-03
41.40     -180.00     -35.00     0.00     8.08822e-03
41.40     -180.00     -34.00     0.00     8.26439e-03
41.40     -180.00     -33.00     0.00     8.24446e-03
41.40     -180.00     -32.00     0.00     8.42075e-03
41.40     -180.00     -31.00     0.00     8.29853e-03
41.40     -180.00     -30.00     0.00     8.40752e-03
41.40     -180.00     -29.00     0.00     8.49450e-03
41.40     -180.00     -28.00     0.00     8.56082e-03
41.40     -180.00     -27.00     0.00     8.60545e-03
41.40     -180.00     -26.00     0.00     8.72538e-03
41.40     -180.00     -25.00     0.00     8.84507e-03
41.40     -180.00     -24.00     0.00     8.88284e-03
41.40     -180.00     -23.00     0.00     8.99069e-03
41.40     -180.00     -22.00     0.00     9.05728e-03
41.40     -180.00     -21.00     0.00     9.16758e-03
41.40     -180.00     -20.00     0.00     9.39124e-03
41.40     -180.00     -19.00     0.00     9.51910e-03
41.40     -180.00     -18.00     0.00     9.74632e-03
41.40     -180.00     -17.00     0.00     9.89982e-03
41.40     -180.00     -16.00     0.00     9.98757e-03
41.40     -180.00     -15.00     0.00     1.04725e-02
41.40     -180.00     -14.00     0.00     1.04392e-02
41.40     -180.00     -13.00     0.00     1.06001e-02
41.40     -180.00     -12.00     0.00     1.08535e-02
41.40     -180.00     -11.00     0.00     1.11310e-02
41.40     -180.00     -10.00     0.00     1.15024e-02
41.40     -180.00     -9.00     0.00     1.18347e-02
41.40     -180.00     -8.00     0.00     1.19376e-02
41.40     -180.00     -7.00     0.00     1.21658e-02
41.40     -180.00     -6.00     0.00     1.27908e-02
41.40     -180.00     -5.00     0.00     1.31714e-02
41.40     -180.00     -4.00     0.00     1.35597e-02
41.40     -180.00     -3.00     0.00     1.38880e-02
41.40     -180.00     -2.00     0.00     1.45152e-02
41.40     -180.00     -1.00     0.00     1.51108e-02
41.40     -180.00     0.00     0.00     1.66581e-02
41.40     -180.00     1.00     0.00     1.62121e-02
41.40     -180.00     2.00     0.00     1.69868e-02
41.40     -180.00     3.00     0.00     1.77651e-02
41.40     -180.00     4.00     0.00     1.89162e-02
41.40     -180.00     5.00     0.00     1.97613e-02
41.40     -180.00     6.00     0.00     2.10955e-02
41.40     -180.00     7.00     0.00     2.22539e-02
41.40     -180.00     8.00     0.00     2.36928e-02
41.40     -180.00     9.00     0.00     2.51310e-02
41.40     -180.00     10.00     0.00     2.68448e-02
41.40     -180.00     11.00     0.00     2.88654e-02
41.40     -180.00     12.00     0.00     3.12947e-02
41.40     -180.00     13.00     0.00     3.33802e-02
41.40     -180.00     14.00     0.00     3.67541e-02
41.40     -180.00     15.00     0.00     4.06329e-02
41.40     -180.00     16.00     0.00     4.45121e-02
41.40     -180.00     17.00     0.00     4.88494e-02
41.40     -180.00     18.00     0.00     5.45480e-02
41.40     -180.00     19.00     0.00     6.15773e-02
41.40     -180.00     20.00     0.00     6.98509e-02
41.40     -180.00     21.00     0.00     8.07371e-02
41.40     -180.00     22.00     0.00     9.27884e-02
41.40     -180.00     23.00     0.00     1.07686e-01
41.40     -180.00     24.00     0.00     1.27930e-01
41.40     -180.00     25.00     0.00     1.48073e-01
41.40     -180.00     26.00     0.00     1.72563e-01
41.40     -180.00     27.00     0.00     2.08700e-01
41.40     -180.00     28.00     0.00     2.46815e-01
41.40     -180.00     29.00     0.00     2.97310e-01
41.40     -180.00     30.00     0.00     3.60409e-01
41.40     -180.00     31.00     0.00     4.51420e-01
41.40     -180.00     32.00     0.00     5.85514e-01
41.40     -180.00     33.00     0.00     7.24715e-01
41.40     -180.00     34.00     0.00     9.30415e-01
41.40     -180.00     35.00     0.00     1.16740e+00
41.40     -180.00     36.00     0.00     1.49306e+00
41.40     -180.00     37.00     0.00     2.26553e+00
41.40     -180.00     38.00     0.00     3.12550e+00
41.40     -180.00     39.00     0.00     8.57484e+00
41.40     -180.00     40.00     0.00     3.68619e+01
41.40     -180.00     41.00     0.00     1.40534e+03
41.40     -180.00     42.00     0.00     1.52696e+03
41.40     -180.00     43.00     0.00     4.82931e+01
41.40     -180.00     44.00     0.00     8.03645e+00
41.40     -180.00     45.00     0.00     4.19988e+00
41.40     -180.00     46.00     0.00     2.83675e+00
41.40     -180.00     47.00     0.00     2.04375e+00
41.40     -180.00     48.00     0.00     1.67224e+00
41.40     -180.00     49.00     0.00     1.26394e+00
41.40     -180.00     50.00     0.00     1.03664e+00
41.40     -180.00     51.00     0.00     8.73411e-01
41.40     -180.00     52.00     0.00     7.30563e-01
41.40     -180.00     53.00     0.00     6.41681e-01
41.40     -180.00     54.00     0.00     5.76868e-01
41.40     -180.00     55.00     0.00     4.87917e-01
41.40     -180.00     56.00     0.00     4.27998e-01
41.40     -180.00     57.00     0.00     3.76073e-01
41.40     -180.00     58.00     0.00     3.34924e-01
41.40     -180.00     59.00     0.00     3.00913e-01
