phi_i     theta_i     phi_o     theta_o     brdf
26.572     180.000     72.000     51.000     2.90176e-01
26.572     180.000     90.000     163.000     2.80248e-01
26.572     180.000     34.000     268.000     2.00545e-01
26.572     180.000     53.000     337.000     3.86564e-01
26.572     180.000     15.000     96.000     2.23854e-01
26.572     180.000     50.000     238.000     1.48344e-01
26.572     180.000     29.500     259.000     1.82681e-01
26.572     180.000     4.000     107.000     2.56029e-01
26.572     180.000     42.500     236.000     1.37161e-01
26.572     180.000     88.000     11.000     3.48034e-01
26.572     180.000     52.500     307.000     2.60133e-01
26.572     180.000     5.500     176.000     2.57685e-01
26.572     180.000     13.500     129.000     1.81598e-01
26.572     180.000     63.000     49.000     2.83779e-01
26.572     180.000     65.500     38.000     3.10338e-01
26.572     180.000     84.500     191.000     2.99859e-01
26.572     180.000     82.000     201.000     3.08087e-01
26.572     180.000     68.500     240.000     2.18845e-01
26.572     180.000     17.000     36.000     5.30967e-01
26.572     180.000     34.000     247.000     1.56362e-01
26.572     180.000     14.500     216.000     2.41517e-01
26.572     180.000     63.000     204.000     2.40571e-01
26.572     180.000     11.000     45.000     3.98777e-01
26.572     180.000     43.500     119.000     1.45778e-01
26.572     180.000     52.500     105.000     1.64941e-01
26.572     180.000     41.000     47.000     4.49517e-01
26.572     180.000     74.000     234.000     2.99017e-01
26.572     180.000     9.500     233.000     2.22584e-01
26.572     180.000     1.500     80.000     2.70464e-01
26.572     180.000     66.500     155.000     2.66239e-01
26.572     180.000     30.500     57.000     3.59547e-01
26.572     180.000     29.500     346.000     5.22030e-01
26.572     180.000     77.500     135.000     3.15963e-01
26.572     180.000     6.500     135.000     2.30067e-01
26.572     180.000     52.000     319.000     3.08364e-01
26.572     180.000     66.000     296.000     2.61853e-01
26.572     180.000     55.500     72.000     2.76254e-01
73.296     180.000     30.000     194.000     1.57584e-01
73.296     180.000     83.500     120.000     4.77211e-01
73.296     180.000     79.500     55.000     7.12091e-01
73.296     180.000     90.000     283.000     5.07699e-01
73.296     180.000     27.500     30.000     2.64004e-01
73.296     180.000     20.500     146.000     1.36726e-01
73.296     180.000     10.000     36.000     1.83628e-01
73.296     180.000     30.500     350.000     2.97950e-01
73.296     180.000     42.500     27.000     4.26996e-01
73.296     180.000     59.000     27.000     8.14364e-01
73.296     180.000     25.000     68.000     2.06701e-01
73.296     180.000     15.500     21.000     2.17013e-01
73.296     180.000     52.000     53.000     3.68509e-01
73.296     180.000     62.000     92.000     2.83956e-01
73.296     180.000     83.000     302.000     7.27637e-01
73.296     180.000     34.000     209.000     1.65939e-01
73.296     180.000     1.000     116.000     2.00754e-01
73.296     180.000     88.500     231.000     4.14706e-01
73.296     180.000     63.000     140.000     2.66712e-01
73.296     180.000     73.000     264.000     3.74677e-01
73.296     180.000     36.500     204.000     1.70646e-01
73.296     180.000     48.000     260.000     2.13590e-01
73.296     180.000     46.000     12.000     6.90518e-01
73.296     180.000     56.000     331.000     6.63804e-01
73.296     180.000     86.500     35.000     1.48635e+00
73.296     180.000     27.500     154.000     1.40434e-01
73.296     180.000     17.000     308.000     1.66462e-01
73.296     180.000     26.500     48.000     2.24586e-01
73.296     180.000     35.000     3.000     3.83336e-01
73.296     180.000     60.500     128.000     2.42183e-01
73.296     180.000     48.000     254.000     2.09928e-01
73.296     180.000     45.500     117.000     1.73070e-01
73.296     180.000     56.500     27.000     7.33318e-01
73.296     180.000     85.000     187.000     5.75098e-01
73.296     180.000     47.500     62.000     2.93940e-01
73.296     180.000     25.500     303.000     1.85493e-01
73.296     180.000     53.000     326.000     5.23232e-01
73.296     180.000     44.000     1.000     5.53637e-01
73.296     180.000     53.000     199.000     2.31537e-01
73.296     180.000     60.500     88.000     2.90036e-01
73.296     180.000     68.500     238.000     3.28095e-01
73.296     180.000     90.000     14.000     1.67020e+00
73.296     180.000     89.500     333.000     1.72075e+00
73.296     180.000     1.000     27.000     1.52992e-01
73.296     180.000     4.000     261.000     1.60335e-01
73.296     180.000     27.000     351.000     2.65460e-01
73.296     180.000     27.000     281.000     1.71778e-01
73.296     180.000     42.000     30.000     4.46023e-01
73.296     180.000     63.000     286.000     3.39866e-01
73.296     180.000     47.500     26.000     5.21160e-01
73.296     180.000     39.500     131.000     1.53943e-01
73.296     180.000     80.000     270.000     4.60548e-01
73.296     180.000     59.500     92.000     2.82411e-01
73.296     180.000     82.000     187.000     5.49814e-01
73.296     180.000     47.500     316.000     3.59696e-01
73.296     180.000     87.000     47.000     1.00852e+00
73.296     180.000     90.000     108.000     4.19694e-01
73.296     180.000     50.000     333.000     5.50187e-01
73.296     180.000     50.000     176.000     2.10598e-01
73.296     180.000     40.500     112.000     1.60641e-01
73.296     180.000     62.000     127.000     2.52161e-01
73.296     180.000     71.500     343.000     1.75819e+00
73.296     180.000     43.000     215.000     1.89779e-01
73.296     180.000     37.000     280.000     1.95301e-01
73.296     180.000     6.500     77.000     1.75661e-01
73.296     180.000     18.500     335.000     1.93510e-01
73.296     180.000     8.000     194.000     1.50190e-01
73.296     180.000     17.000     250.000     1.50003e-01
73.296     180.000     28.500     210.000     1.57598e-01
73.296     180.000     43.000     162.000     1.73105e-01
73.296     180.000     59.500     38.000     6.20303e-01
73.296     180.000     85.500     266.000     4.95025e-01
73.296     180.000     48.500     126.000     1.79012e-01
73.296     180.000     48.000     249.000     2.08588e-01
73.296     180.000     77.500     114.000     3.99675e-01
73.296     180.000     66.000     340.000     1.35382e+00
73.296     180.000     63.500     257.000     2.91186e-01
73.296     180.000     24.000     95.000     2.96660e-01
73.296     180.000     84.000     72.000     5.91599e-01
73.296     180.000     51.000     338.000     6.41334e-01
73.296     180.000     24.500     142.000     1.36925e-01
73.296     180.000     65.000     167.000     3.16165e-01
73.296     180.000     57.500     327.000     6.37609e-01
73.296     180.000     49.500     258.000     2.17727e-01
73.296     180.000     12.000     194.000     1.50854e-01
73.296     180.000     48.000     355.000     6.79262e-01
73.296     180.000     19.000     211.000     1.49935e-01
73.296     180.000     15.000     244.000     1.51999e-01
73.296     180.000     83.500     238.000     4.86230e-01
73.296     180.000     41.500     344.000     4.62248e-01
73.296     180.000     20.000     112.000     1.37053e-01
73.296     180.000     86.000     119.000     4.80785e-01
73.296     180.000     79.000     150.000     4.69221e-01
73.296     180.000     90.000     32.000     1.70611e+00
73.296     180.000     66.000     340.000     1.35382e+00
73.296     180.000     58.500     312.000     4.57493e-01
73.296     180.000     66.500     34.000     8.70611e-01
73.296     180.000     20.500     180.000     1.44015e-01
73.296     180.000     79.000     74.000     5.11213e-01
73.296     180.000     83.500     350.000     1.60955e+00
